Tela,Rota,Botao,Handler,Service,Endpoint,ProviderJob,Status,EvidenciaTeste
Painel de Marketing,/(marketing)/marketing,Nova Campanha,handleOpenCreateModal,MarketingService,POST /api/marketing/campanhas,Meta Ads / Google Ads,FUNCIONAL,marketing-e2e-master.spec.ts
Painel de Marketing,/(marketing)/marketing,Filtrar por Status,handleFilterStatus,MarketingService,GET /api/marketing/campanhas,N/A,FUNCIONAL,marketing.spec.ts
Painel de Marketing,/(marketing)/marketing,Exportar Relatório,handleExportReport,MarketingService,GET /api/marketing/relatorios/export,Job Export CSV,FUNCIONAL,marketing.spec.ts
Painel de Marketing,/(marketing)/marketing,Ver Detalhes Campanha,handleSelectCampaign,MarketingService,GET /api/marketing/campanhas/:id,Provider API,FUNCIONAL,marketing-e2e-master.spec.ts
Painel de Marketing,/(marketing)/marketing,Pausar Campanha,handlePauseCampaign,MarketingService,POST /api/marketing/campanhas/:id/pausar,Provider Worker,FUNCIONAL,health-telemetry.spec.ts
Painel de Marketing,/(marketing)/marketing,Reativar Campanha,handleResumeCampaign,MarketingService,POST /api/marketing/campanhas/:id/reativar,Provider Worker,FUNCIONAL,health-telemetry.spec.ts
Gerador de UTM,/(marketing)/marketing/utm,Gerar Link UTM,handleGenerateUtm,MarketingService,POST /api/marketing/utm/generate,N/A,FUNCIONAL,marketing.spec.ts
Gerador de UTM,/(marketing)/marketing/utm,Copiar Link Rastreável,handleCopyLink,MarketingService,N/A,Clipboard API,FUNCIONAL,marketing.spec.ts
Gerador de UTM,/(marketing)/marketing/utm,Gerar QR Code,handleGenerateQrCode,MarketingService,POST /api/marketing/utm/qrcode,QR Generator Engine,FUNCIONAL,marketing.spec.ts
Gerador de UTM,/(marketing)/marketing/utm,Baixar QR Code SVG,handleDownloadQrCode,MarketingService,GET /api/marketing/utm/qrcode/download,N/A,FUNCIONAL,marketing.spec.ts
Biblioteca de Criativos,/(marketing)/marketing/criativos,Novo Criativo,handleUploadCreative,MarketingVideoService,POST /api/marketing/criativos/upload,CDN S3 Dispatcher,FUNCIONAL,marketing.spec.ts
Biblioteca de Criativos,/(marketing)/marketing/criativos,Editar Metadados,handleEditCreative,MarketingService,PUT /api/marketing/criativos/:id,N/A,FUNCIONAL,marketing.spec.ts
Biblioteca de Criativos,/(marketing)/marketing/criativos,Associar a Campanha,handleAttachCreative,MarketingService,POST /api/marketing/campanhas/:id/criativos,Provider Asset Sync,FUNCIONAL,marketing.spec.ts
Central de Públicos,/(marketing)/marketing/publicos,Criar Público,handleCreateAudience,AudiencesJourneysService,POST /api/marketing/audiences,Audiences Sync Job,FUNCIONAL,audiences-journeys.spec.ts
