Operacao,Fila,Alcada_Minima,Segregacao_Funcoes_Obrigatoria,Requer_Idempotencia,Impacto_Ledger,Impacto_Liquidez,Nivel_Automacao,Observacoes
Aprovacao de Repasse Individual,APROVACOES,SUPERVISOR,SIM,SIM,Debito em Custodia / Baixa Ledger,Saida de Caixa,MANUAL,"Valor ate R$ 50k requer Supervisor; acima requer Diretor. Solicitante nao pode aprovar."
Aprovacao de Repasse Critico (>50k),APROVACOES,DIRETOR,SIM,SIM,Debito em Custodia / Baixa Ledger,Saida de Caixa Alta,MANUAL,"Operacao de alto valor. Requer justificativa e token de alçada diretiva."
Transferencia entre Eventos,APROVACOES,SUPERVISOR,SIM,SIM,Partidas Dobradas (Origem/Destino),Neutro (Mesmo Produtor),MANUAL,"Exclusivamente entre eventos do mesmo produtor. Bloqueio estrito inter-produtores."
Liquidacao de Despesa / Conta a Pagar,APROVACOES,OPERADOR,SIM,SIM,Debito Centro de Custo / Credito Banco,Saida de Caixa,MANUAL,"Ate R$ 5k Operador; de R$ 5k a R$ 50k Supervisor; acima Diretor."
Alteracao de Taxa Comercial de Evento,APROVACOES,DIRETOR,SIM,SIM,Inicia nova versao (V2/V3),Impacta Vendas Futuras,MANUAL,"Nunca altera vendas historicas retroativamente. Preserva snapshots passados."
Mudanca de Domicilio Bancario,APROVACOES,DIRETOR,SIM,SIM,Nenhum (Cadastro Tesouraria),Neutro (Direcionamento futuro),MANUAL,"Exige comprovante bancario, verificacao de titularidade e alçada de Diretor."
Fechamento Diario da Operacao,FECHAMENTOS,SUPERVISOR,NAO,SIM,Snapshot consolidado do dia,Neutro (Controle gerencial),SEMI-AUTOMATICO,"Gera snapshot imutavel de vendas, taxas retidas e divergencias do dia."
Fechamento Financeiro de Evento,FECHAMENTOS,DIRETOR,SIM,SIM,Congela movimentacoes contabeis,Bloqueio de novas saidas,MANUAL,"Bloqueado se houver divergencias criticas abertas. Emite Dossie com Hash SHA-256."
Reabertura de Evento Fechado,FECHAMENTOS,DIRETOR,SIM,SIM,Gera evento de auditoria de reabertura,Reabilita movimentacoes,MANUAL,"Exige codigo diretivo formal AUTH-DIR-* e justificativa forense registrada."
Repasse em Massa (Batch Payout),REPASSES_MASSA,SUPERVISOR,SIM,SIM,Lote de baixas no Ledger,Saida de Caixa Consolidada,SEMI-AUTOMATICO,"Fase 1: Previa detalhada; Fase 2: Aprovacao; Fase 3: Execucao idempotente."
Conciliacao Enterprise (Auto-Match),CONCILIACAO,OPERADOR,NAO,SIM,Nenhum (Classificacao analitica),Neutro,SEMI-AUTOMATICO,"Identifica divergencias 6 vias por tolerancia de centavos e timestamps."
Conciliacao Enterprise (Manual Match),CONCILIACAO,SUPERVISOR,SIM,SIM,Lancamento compensatorio se ajustado,Ajuste de Caixa se procedente,MANUAL,"Resolucao fundamentada com vinculacao de ID de extrato e parecer do auditor."
Abertura de Caso de Divergencia,CASOS,OPERADOR,NAO,SIM,Nenhum (Registro de ocorrencia),Neutro,AUTOMATICO_E_MANUAL,"Automações seguras podem abrir casos sem movimentar dinheiro."
Resolucao de Caso Financeiro,CASOS,SUPERVISOR,SIM,SIM,Lancamento de ajuste se autorizado,Ajuste financeiro se aprovado,MANUAL,"Exige anexacao de evidencias e parecer conclusivo do auditor responsavel."
Simulacao de Liquidez (7/15/30/60/90),LIQUIDEZ,OPERADOR,NAO,NAO,NENHUM (isSimulation: true),Neutro (Apenas projecao),AUTOMATICO,"Calculo puramente analitico sem qualquer mutacao no saldo real ou Ledger."
Reprocessamento de Webhook / Lote,AUTOMACAO,OPERADOR,NAO,SIM,Registro de Outbox idempotente,Neutro,AUTOMATICO,"Pode sincronizar, retentar chamadas e reconciliar. Proibido movimentar capital."
Auditoria Forense (Trilha Imutavel),AUDITORIA,SUPERVISOR,NAO,NAO,NENHUM (Apenas leitura/consulta),Neutro,MANUAL_E_CONSULTA,"Pesquisa por correlationId, idempotencyKey, ator, evento e intervalo temporal."
